UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V248	ggpP	2-O-(alpha-D-glucopyranosyl)-sn-glycerol 3-phosphate + H2O  ->  2-O-(alpha-D-glucopyranosyl)glycerol + phosphate	EC-3.1.3.69	PMM0639	TX50_RS03390	Glucosylglycerol-phosphate phosphatase (Salt tolerance protein A)
Q7V0E3	glcH	D-glucose[out] + Na+[out]  ->  D-glucose[in] + Na+[in]		PMM1323	TX50_RS07105	Na+/D-glucose symporter
Q7V275	glgA	ADP-alpha-D-glucose + (1,4-alpha-D-glucosyl)(n)  ->  ADP + (1,4-alpha-D-glucosyl)(n+1)	EC-2.4.1.21	PMM0609	TX50_RS03240	glycogen synthase GlgA
Q7V299	glgB	n alpha-amylose  ->  n amylopectin // n a (1->4)-alpha-D-glucan  ->  n starch // a glucosylated glycogenin  =  a glycogen // a (1->4)-alpha-D-glucan  ->  a glycogen // a (1->4)-alpha-D-glucan  ->  a GlgE-glycogen // a (1->4)-alpha-D-glucan  ->  a (1,6)-alpha-D-glucosyl-(1,4)-alpha-glucan highly branched	EC-2.4.1.18	PMM0584	TX50_RS03115	1,4-alpha-glucan branching protein GlgB
Q7V1T6	glgC	alpha-D-glucopyranose 1-phosphate + ATP + H+  ->  ADP-alpha-D-glucose + diphosphate	EC-2.7.7.27	PMM0769	TX50_RS04110	glucose-1-phosphate adenylyltransferase
Q7UZQ7	glgP	a glycogen + n phosphate  ->  an alpha-limit dextrin + n alpha-D-glucopyranose 1-phosphate // a debranched alpha-limit dextrin + n phosphate  ->  n alpha-D-glucopyranose 1-phosphate	EC-2.4.1.1	PMM1601	TX50_RS08565	glycogen/starch/alpha-glucan phosphorylase
Q7V288	glk	D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+ // a D-hexose + ATP  ->  D-hexose 6-phosphate + ADP + H+	EC-2.7.1.1 // EC-2.7.1.2	PMM0596	TX50_RS03175	glucokinase
Q7V349	glmM	phosphorylated phosphoglucosamine mutase + D-glucosamine 6-phosphate  =  glucosamine 1,6-diphosphate + phosphoglucosamine mutase // glucosamine 1,6-diphosphate + phosphoglucosamine mutase  =  alpha-D-glucosamine 1-phosphate + phosphorylated phosphoglucosamine mutase // D-glucosamine 6-phosphate  <-->  alpha-D-glucosamine 1-phosphate	EC-5.4.2.10	PMM0241	TX50_RS01250	phosphoglucosamine mutase
Q7UZQ2	glmS	beta-D-fructofuranose 6-phosphate + L-glutamine  <-->  D-glucosamine 6-phosphate + L-glutamate	EC-2.6.1.16	PMM1606	TX50_RS08595	glutamine--fructose-6-phosphate transaminase (isomerizing)
Q7V274	glmU	UTP + N-acetyl-alpha-D-glucosamine 1-phosphate + H+  ->  UDP-N-acetyl-alpha-D-glucosamine + diphosphate // acetyl-CoA + alpha-D-glucosamine 1-phosphate  ->  N-acetyl-alpha-D-glucosamine 1-phosphate + coenzyme A + H+	EC-2.7.7.23 // EC-2.3.1.157	PMM0611	TX50_RS03250	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
Q7V1F3	glnA	ammonium + L-glutamate + ATP  ->  L-glutamine + ADP + phosphate + H+	EC-6.3.1.2	PMM0920	TX50_RS04910	glutamine synthetase
Q7TUC2	gloA	(R)-S-lactoylglutathione  <-  methylglyoxal + glutathione	EC-4.4.1.5	PMM0653	TX50_RS03460	lactoylglutathione lyase
Q7V2C1	gloB	S-(2-hydroxyacyl)glutathione + H2O  ->  a 2-hydroxy carboxylate + glutathione + H+ // (R)-S-lactoylglutathione + H2O  ->  (R)-lactate + glutathione + H+	EC-3.1.2.6	PMM0559	TX50_RS02985	hydroxyacylglutathione hydrolase
Q7V1T8	glpX	D-sedoheptulose 1,7-bisphosphate + H2O  ->  D-sedoheptulose 7-phosphate + phosphate // beta-D-fructose 1,6-bisphosphate + H2O  ->  beta-D-fructofuranose 6-phosphate + phosphate	EC-3.1.3.37 // EC-3.1.3.11	PMM0767	TX50_RS04100	class II fructose-bisphosphatase
Q7UZY3	glsF	ammonia + 2-oxoglutarate + 2 reduced ferredoxin [iron-sulfur] cluster + 3 H+  ->  L-glutamate + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O // 2 L-glutamate + 2 oxidized ferredoxin [iron-sulfur] cluster  <-  2-oxoglutarate + L-glutamine + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.4.7.1	PMM1512	TX50_RS08110	ferredoxin-dependent glutamate synthase
Q7V3C0	gltA	acetyl-CoA + oxaloacetate + H2O  ->  citrate + coenzyme A + H+	EC-2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1	PMM0161	TX50_RS00840	citrate synthase
Q7V258	gltS	D-or-L-glutamate[out] + D-or-L-glutamate[out] + Na+[out]  ->  D-or-L-glutamate[in] + D-or-L-glutamate[in] + Na+[in]		PMM0628	TX50_RS03335	Na+/glutamate symporter
Q7V2K3	gltX	tRNAglu + L-glutamate + ATP  ->  L-glutamyl-[tRNAGlu] + AMP + diphosphate	EC-6.1.1.17	PMM0473	TX50_RS02540	glutamate--tRNA ligase
Q7V335	glyA	L-serine + a tetrahydrofolate  <-->  glycine + a 5,10-methylenetetrahydrofolate + H2O // D-alanine + pyridoxal 5'-phosphate  =  pyruvate + pyridoxamine 5'-phosphate	EC-2.1.2.1	PMM0258	TX50_RS01335	Glycine/serine hydroxymethyltransferase
Q7V0T8	glyQ	tRNAGly + glycine + ATP  ->  glycyl-[tRNAGly] + AMP + diphosphate	EC-6.1.1.14	PMM1165	TX50_RS06295	glycine--tRNA ligase subunit alpha
Q7V1U6	glyS	tRNAGly + glycine + ATP  ->  glycyl-[tRNAGly] + AMP + diphosphate	EC-6.1.1.14	PMM0759	TX50_RS04060	Glycyl-tRNA synthetase beta subunit
Q7V0P8	gmd	GDP-alpha-D-mannose  ->  GDP-4-dehydro-alpha-D-rhamnose + H2O	EC-4.2.1.47	PMM1208	TX50_RS06515	GDP-mannose 4,6-dehydratase
Q7V2K9	gmk	ATP + GMP  <-->  ADP + GDP // ATP + dZMP  ->  ADP + dZDP	EC-2.7.4.8	PMM0467	TX50_RS02510	guanylate kinase
Q7V1T5	gnd	D-gluconate 6-phosphate + NADP+  ->  D-ribulose 5-phosphate + CO2 + NADPH // phosphogluconate dehydrogenase [NAD(P)+-dependent, decarboxylating]	EC-1.1.1.44 // EC-1.1.1.351	PMM0770	TX50_RS04115	6-phosphogluconate dehydrogenase
Q7V2B4	gorA	2 glutathione + NADP+  <-  glutathione disulfide + NADPH + H+	EC-1.8.1.7	PMM0567	TX50_RS03025	glutathione-disulfide reductase
Q7V1B9	gpgP	2-O-(alpha-D-glucopyranosyl)-3-phospho-D-glycerate + H2O  ->  2-O-(alpha-D-glucopyranosyl)-D-glycerate + phosphate	EC-3.1.3.85	PMM0960	TX50_RS05110	glucosyl-3-phosphoglycerate phosphatase
Q7V1B7	gpgS	UDP-glucose glucosyl-3-phosphoglycerate synthase // GDP-glucose glycosyl-3-phosphoglycerater synthase // a NDP-glucose glucosyl-3-phosphoglycerate synthase // ADP-alpha-D-glucose + 3-phospho-D-glycerate  ->  2-O-(alpha-D-glucopyranosyl)-3-phospho-D-glycerate + ADP + H+	EC-2.4.1.266	PMM0962	TX50_RS05120	glucosyl-3-phosphoglycerate synthase
Q7V051	gpmI	2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	EC-5.4.2.12	PMM1434	TX50_RS07725	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
Q7TU44	groL	unfolded protein + ATP + H2O  ->  protein + ADP + phosphate + H+	EC-3.6.4.10 // EC-5.6.1.7	PMM1436	TX50_RS07735	chaperonin GroEL
Q7V2M3	groL	unfolded protein + ATP + H2O  ->  protein + ADP + phosphate + H+	EC-3.6.4.10 // EC-5.6.1.7	PMM0452	TX50_RS02430	chaperonin GroEL
Q7V3A4	grxC	protein with a disulfide bond + reduced glutaredoxin  ->  protein with reduced L-cysteine residues + oxidized glutaredoxin // protein with a disulfide bond + 2 glutathione  ->  glutathione disulfide + protein with reduced L-cysteine residues // oxidized glutaredoxin + 2 glutathione  ->  glutathione disulfide + reduced glutaredoxin	EC-1.8.4.2	PMM0179	TX50_RS00930	glutaredoxin 3
Q7UZS9	gshA	L-glutamate + L-cysteine + ATP  ->  gamma-L-glutamyl-L-cysteine + ADP + phosphate + H+ // L-glutamate + L-alanine + ATP  ->  gamma-L-glutamyl-D-alanine + ADP + phosphate + H+ // L-glutamate + (S)-2-aminobutanoate + ATP  ->  gamma-L-glutamyl-(S)-2-aminobutanoate + ADP + phosphate + H+	EC-6.3.2.2	PMM1576	TX50_RS08440	glutamate--cysteine ligase
Q7TUG9	gshB	glycine + gamma-L-glutamyl-L-cysteine + ATP  ->  ADP + glutathione + phosphate + H+ // glycine + gamma-L-glutamyl-D-alanine + ATP  ->  norophthalmate + ADP + phosphate + H+ // glycine + gamma-L-glutamyl-(S)-2-aminobutanoate + ATP  ->  ophthalmate + ADP + phosphate + H+	EC-6.3.2.3	PMM0178	TX50_RS00925	glutathione synthase
Q7V3N7	guaA	XMP + L-glutamine + ATP + H2O  ->  L-glutamate + GMP + AMP + diphosphate + 2 H+ // XMP + ammonia + ATP  =  GMP + AMP + diphosphate + H+ // L-glutamine + H2O  ->  L-glutamate + ammonia + H+	EC-6.3.5.2 // EC-3.5.1.38 // EC-3.5.1.2	PMM0037	TX50_RS00200	glutamine-hydrolyzing GMP synthase
Q7V125	guaB	IMP + NAD+ + H2O  <-->  XMP + NADH + H+	EC-1.1.1.205	PMM1062	TX50_RS05705	IMP dehydrogenase
Q7V0N2	gumB	a polysaccharide[cytosol]  ->  a polysaccharide[periplasm]		PMM1224	TX50_RS06595	polysaccharide export protein
Q7V124	gyrA	double stranded DNA + ATP  ->  negatively supercoiled DNA + ADP + phosphate	EC-5.6.2.2	PMM1063	TX50_RS05710	DNA gyrase A subunit
Q7UZM4	gyrB	double stranded DNA + ATP  ->  negatively supercoiled DNA + ADP + phosphate	EC-5.6.2.2	PMM1634	TX50_RS08735	DNA gyrase B subunit
Q7V1T7	hemA	(S)-4-amino-5-oxopentanoate + tRNAglu + NADP+  <-  L-glutamyl-[tRNAGlu] + NADPH + H+	EC-1.2.1.70	PMM0768	TX50_RS04105	glutamyl-tRNA reductase
Q7V370	hemB	2 5-aminolevulinate  ->  porphobilinogen + H+ + 2 H2O	EC-4.2.1.24	PMM0215	TX50_RS01110	porphobilinogen synthase
Q7V2I1	hemC	a [hydroxymethylbilane synthase] ES4 intermediate + H2O  ->  preuroporphyrinogen + a holo-[hydroxymethylbilane synthase] // a [hydroxymethylbilane synthase] ES3 intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES4 intermediate + ammonium // a [hydroxymethylbilane synthase] ES2 intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES3 intermediate + ammonium // a holo-[hydroxymethylbilane synthase] + porphobilinogen  ->  a holo [hydroxymethylbilane synthase] ES intermediate + ammonium // a holo [hydroxymethylbilane synthase] ES intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES2 intermediate + ammonium // 4 porphobilinogen + H2O  ->  4 ammonium + preuroporphyrinogen	EC-2.5.1.61	PMM0495	TX50_RS02665	hydroxymethylbilane synthase
Q7V3G2	hemD	preuroporphyrinogen  ->  uroporphyrinogen-III + H2O	EC-4.2.1.75	PMM0113	TX50_RS00595	uroporphyrinogen-III synthase
Q7V2A0	hemE	uroporphyrinogen-III + 4 H+  ->  coproporphyrinogen III + 4 CO2 // uroporphyrinogen-I + 4 H+  ->  coproporphyrinogen I + 4 CO2	EC-4.1.1.37	PMM0583	TX50_RS03110	uroporphyrinogen decarboxylase
Q7UZS3	hemF	coproporphyrinogen III + oxygen + 2 H+  ->  protoporphyrinogen IX + 2 CO2 + 2 H2O	EC-1.3.3.3	PMM1582	TX50_RS08470	oxygen-dependent coproporphyrinogen oxidase
Q7V2F5	hemH	protoheme + 2 H+  <-  protoporphyrin IX + Fe2+	EC-4.98.1.1	PMM0525	TX50_RS02815	ferrochelatase
Q7V1J0	hemJ	protoporphyrinogen IX + 3 oxygen  ->  protoporphyrin IX + 3 hydrogen peroxide	EC-1.3.3.4	PMM0881	TX50_RS04710	protoporphyrinogen oxidase
Q7V2J3	hemL	(S)-4-amino-5-oxopentanoate  ->  5-aminolevulinate	EC-5.4.3.8	PMM0483	TX50_RS02605	glutamate-1-semialdehyde 2,1-aminomutase
Q7V2J4	hflC	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.24	PMM0482	TX50_RS02600	regulator of FtsH protease
Q7V325	hik01	a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	EC-2.7.13.3	PMM0269	TX50_RS01395	two-component sensor histidine kinase 1
Q7UZS6	hik05	a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	EC-2.7.13.3	PMM1579	TX50_RS08455	two-component sensor histidine kinase 5
Q7TUA7	hisA	1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide  ->  phosphoribulosylformimino-AICAR-phosphate	EC-5.3.1.16	PMM0796	TX50_RS04245	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
Q7UZX3	hisB	D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate  ->  3-(imidazol-4-yl)-2-oxopropyl phosphate + H2O	EC-4.2.1.19	PMM0281	TX50_RS01460	imidazoleglycerol-phosphate dehydratase HisB
Q7V397	hisC	L-histidinol phosphate + 2-oxoglutarate  <-->  3-(imidazol-4-yl)-2-oxopropyl phosphate + L-glutamate	EC-2.6.1.9	PMM0186	TX50_RS00965	histidinol-phosphate aminotransferase
Q7V004	hisD	histidinol + NAD+  <-->  histidinal + NADH + H+ // histidinol + 2 NAD+ + H2O  ->  L-histidine + 2 NADH + 3 H+ // histidinal + NAD+ + H2O  ->  L-histidine + NADH + 2 H+	EC-1.1.1.23	PMM1488	TX50_RS07990	histidinol dehydrogenase
Q7V2P2	hisF	phosphoribulosylformimino-AICAR-phosphate + L-glutamine  ->  L-glutamate + D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H+ // phosphoribulosylformimino-AICAR-phosphate + ammonia  ->  D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H2O	EC-4.3.2.10	PMM0430	TX50_RS02320	imidazole glycerol phosphate synthase subunit HisF
Q7V2C0	hisG	1-(5-phospho-beta-D-ribosyl)-ATP + diphosphate  <-->  ATP + 5-phospho-alpha-D-ribose 1-diphosphate	EC-2.4.2.17	PMM0560	TX50_RS02990	ATP phosphoribosyltransferase
Q7V127	hisH	phosphoribulosylformimino-AICAR-phosphate + L-glutamine  ->  L-glutamate + D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H+ // phosphoribulosylformimino-AICAR-phosphate + ammonia  ->  D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H2O	EC-4.3.2.10	PMM1060	TX50_RS05695	imidazole glycerol phosphate synthase subunit HisH
Q7TUC7	hisIE	1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+ // 1-(5-phospho-beta-D-ribosyl)-AMP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	EC-3.6.1.31 // EC-3.5.4.19	PMM0578	TX50_RS03085	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
Q7V263	hisS	tRNAHis + L-histidine + ATP  ->  L-histidyl-[tRNAHis] + AMP + diphosphate	EC-6.1.1.21	PMM0623	TX50_RS03310	histidine--tRNA ligase
Q7TU96	hisZ	1-(5-phospho-beta-D-ribosyl)-ATP + diphosphate  <-->  ATP + 5-phospho-alpha-D-ribose 1-diphosphate	EC-2.4.2.17	PMM0900	TX50_RS04810	ATP phosphoribosyltransferase regulatory subunit
Q7UZR4	ho1	6 reduced ferredoxin [iron-sulfur] cluster + protoheme + 3 oxygen + 8 H+  ->  (Z,Z)-biliverdin-IX alpha + Fe2+ + carbon monoxide + 6 oxidized ferredoxin [iron-sulfur] cluster + 3 H2O	EC-1.14.15.20	PMM1594	TX50_RS08530	heme oxygenase
Q7UZL5	holA	a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-2.7.7.7	PMM1647	TX50_RS08805	DNA polymerase III delta subunit
Q7UZR2	icd	oxalosuccinate + H+  <-->  2-oxoglutarate + CO2 // isocitrate dehydrogenase (NADP<small><sup>+</sup></small>) // D-threo-isocitrate + NADP+  <-->  2-oxoglutarate + CO2 + NADPH	EC-1.1.1.42	PMM1596	TX50_RS08540	NADP-dependent isocitrate dehydrogenase
Q7V352	ileS	tRNAIle + L-isoleucine + ATP  ->  L-isoleucyl-[tRNAIle] + AMP + diphosphate	EC-6.1.1.5	PMM0238	TX50_RS01235	isoleucine--tRNA ligase
Q7V1G5	ilvA	L-threonine  ->  2-oxobutanoate + ammonium // L-threonine  ->  (2Z)-2-aminobut-2-enoate + H2O + H+ // 2-iminobutanoate + H2O + H+  ->  2-oxobutanoate + ammonium // (2Z)-2-aminobut-2-enoate  ->  2-iminobutanoate	EC-4.3.1.19 // EC-3.5.99.10	PMM0908	TX50_RS04850	threonine ammonia-lyase, biosynthetic
Q7V2F4	ilvB	2-aceto-2-hydroxy-butyrate synthase // 2 pyruvate + H+  ->  (S)-2-acetolactate + CO2	EC-2.2.1.6	PMM0526	TX50_RS02820	biosynthetic-type acetolactate synthase large subunit
Q7V0F0	ilvC	(R)-pantoate + NADP+  <-  2-dehydropantoate + NADPH + H+ // (R)-2,3-dihydroxy-3-methylpentanoate + NADP+  <-  (S)-2-aceto-2-hydroxybutanoate + NADPH + H+ // (2R)-2,3-dihydroxy-3-methylbutanoate + NADP+  <-  (S)-2-acetolactate + NADPH + H+	EC-1.1.1.169 // EC-1.1.1.86	PMM1315	TX50_RS07055	Ketol-acid reductoisomerase
Q7V1T1	ilvD	D-gluconate 6-phosphate  ->  2-dehydro-3-deoxy-D-gluconate 6-phosphate + H2O // 2,3-Dihydroxy-3-methylvalerate dehydratase // (2R)-2,3-dihydroxy-3-methylbutanoate  ->  3-methyl-2-oxobutanoate + H2O	EC-4.2.1.12 // EC-4.2.1.9	PMM0774	TX50_RS04135	Dihydroxyacid dehydratase
Q7V0U8	ilvN	2-aceto-2-hydroxy-butyrate synthase // 2 pyruvate + H+  ->  (S)-2-acetolactate + CO2	EC-2.2.1.6	PMM1154	TX50_RS06225	acetolactate synthase small subunit
Q7V2M1	ispD	2-C-methyl-D-erythritol 4-phosphate + CTP + H+  ->  4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + diphosphate	EC-2.7.7.60	PMM0454	TX50_RS02445	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Q7V329	ispH	prenyl diphosphate + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O  <-  (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+ // isopentenyl diphosphate + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O  <-  (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.17.7.4	PMM0264	TX50_RS01370	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
Q7V363	kdgA	2-dehydro-3-deoxy-D-gluconate 6-phosphate  ->  D-glyceraldehyde 3-phosphate + pyruvate	EC-4.1.2.55 // EC-4.1.2.14	PMM0225	TX50_RS01160	2-keto-3-deoxy-6-phosphogluconate aldolase
Q7V2I9	larC	pyridin-1-ium-3-thioamide-5-thiocarboxylate mononucleotide Ni pincer complex + 2 H+  <-  Ni2+ + pyridin-1-ium-3,5-bisthiocarboxylate mononucleotide	EC-4.99.1.12	PMM0487	TX50_RS02625	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase
Q7UZT4	larE	ATP + pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide + H+  ->  1-(5-O-phospho-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl adenylate + diphosphate // ATP + pyridin-1-ium-3,5-dicarboxylate mononucleotide + H+  ->  5-carboxy-1-(5-O-phospho-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl adenylate + diphosphate // a [LarE]-S-[5-carboxy-1-(5-O-phosphono-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl]-L-cysteine  ->  a [LarE]-dehydroalanine + pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide // a [LarE]-S-[1-(5-O-phosphono-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl]-L-cysteine  ->  a [LarE]-dehydroalanine + pyridin-1-ium-3,5-bisthiocarboxylate mononucleotide // a [LarE]-L-cysteine + pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide + ATP  ->  a [LarE]-dehydroalanine + pyridin-1-ium-3,5-bisthiocarboxylate mononucleotide + AMP + diphosphate // a [LarE]-L-cysteine + pyridin-1-ium-3,5-dicarboxylate mononucleotide + ATP  ->  a [LarE]-dehydroalanine + pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide + AMP + diphosphate // a [LarE]-L-cysteine + 5-carboxy-1-(5-O-phospho-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl adenylate  ->  a [LarE]-S-[5-carboxy-1-(5-O-phosphono-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl]-L-cysteine + AMP + H+ // a [LarE]-L-cysteine + 1-(5-O-phospho-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl adenylate  ->  a [LarE]-S-[1-(5-O-phosphono-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl]-L-cysteine + AMP + H+	EC-4.4.1.37	PMM1571	TX50_RS08410	ATP-dependent sacrificial sulfur transferase LarE
Q7V123	lcyB	rhodopin  ->  1'-hydroxy-gamma-carotene // gamma-carotene  ->  beta-carotene // delta-carotene  ->  alpha-carotene // beta-zeacarotene  ->  7,8-dihydro-beta-carotene // all-trans-lycopene  ->  gamma-carotene // all-trans neurosporene  ->  beta-zeacarotene // a carotenoid psi-end group  =  a carotenoid beta-end group // 3,4-didehydrorhodopin  ->  myxocoxanthin	EC-5.5.1.19	PMM1064	TX50_RS05715	lycopene &beta; cyclase
Q7V2Q1	lepA	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM0420	TX50_RS02260	Membrane GTPase LepA
Q7V2G7	lepB	peptide with a leader sequence + H2O  ->  peptide + leader sequence	EC-3.4.21.89	PMM0513	TX50_RS02755	signal peptidase I
Q7V278	lepB	peptide with a leader sequence + H2O  ->  peptide + leader sequence	EC-3.4.21.89	PMM0606	TX50_RS03225	signal peptidase I
Q7V121	leuA	3-methyl-2-oxobutanoate + acetyl-CoA + H2O  ->  (2S)-2-isopropylmalate + coenzyme A + H+	EC-2.3.3.13	PMM1066	TX50_RS05725	2-isopropylmalate synthase
Q7V1R9	leuB	(2S)-2-isopropyl-3-oxosuccinate + H+  ->  4-methyl-2-oxopentanoate + CO2 // (2R,3S)-3-isopropylmalate + NAD+  ->  4-methyl-2-oxopentanoate + CO2 + NADH // (2R,3S)-3-isopropylmalate + NAD+  ->  (2S)-2-isopropyl-3-oxosuccinate + NADH + H+	EC-1.1.1.85	PMM0786	TX50_RS04195	3-isopropylmalate dehydrogenase
Q7V336	leuC	3-isopropylmalate dehydratase // 3-isopropylmalate dehydratase // (2R,3S)-3-isopropylmalate  <-->  (2S)-2-isopropylmalate	EC-4.2.1.33	PMM0256	TX50_RS01325	3-isopropylmalate dehydratase large subunit
Q7V337	leuD	3-isopropylmalate dehydratase // 3-isopropylmalate dehydratase // (2R,3S)-3-isopropylmalate  <-->  (2S)-2-isopropylmalate	EC-4.2.1.33	PMM0255	TX50_RS01320	3-isopropylmalate dehydratase small subunit
Q7V1I2	leuS	tRNALeu + L-leucine + ATP  ->  L-leucyl-[tRNALeu] + AMP + diphosphate	EC-6.1.1.4	PMM0889	TX50_RS04750	leucine--tRNA ligase
Q7V0J4	lexA	repressor LexA + H2O  ->  cleaved repressor LexA	EC-3.4.21.88	PMM1262	TX50_RS06785	repressor LexA
Q7V0P1	lhgO	(S)-2-hydroxyglutarate + oxygen  ->  2-oxoglutarate + hydrogen peroxide	EC-1.1.3	PMM1215	TX50_RS06550	L-2-hydroxyglutarate oxidase
Q7UZI6	lig	[DNA]-3'-hydroxyl + 5'-phospho-[DNA] + ATP  ->  [DNA] + AMP + diphosphate // ATP + a [DNA ligase]-L-lysine  ->  a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + diphosphate + H+ // adenosine-5'-diphospho-5'-[DNA] + [DNA]-3'-hydroxyl  ->  [DNA] + AMP + H+ // a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + 5'-phospho-[DNA] + 2 H+  ->  adenosine-5'-diphospho-5'-[DNA] + a [DNA ligase]-L-lysine	EC-6.5.1.7 // EC-6.5.1.1 // EC-6.5.1.6	PMM1679	TX50_RS08970	ATP-dependent DNA ligase
